venues,capacity
SALLE GASTON MEDECIN,4090
MENORA MIVTACHIM ARENA,10728
MEDIOLANUM FORUM,12700
WIZINK CENTER,17453
BASKET HALL KAZAN,7482
ULKER SPORTS AND EVENT HALL,13059
ASTROBALLE,5556
PEACE AND FRIENDSHIP STADIUM,11640
PALAU BLAUGRANA,7585
ZALGIRIO ARENA,15415
OAKA Altion,17600
AUDI DOME,6700
SINAN ERDEM SPORTS HALL.,16000
MERCEDES-BENZ ARENA,14500
BUESA ARENA,15716
MEGASPORT ARENA,12824
STARK ARENA,18386
SIBUR ARENA,7120
ALEKSANDAR NIKOLIC HALL,8000
YUBILEYNY SPORTS PALACE,7000
LA FONTETA,9000
ARENA MYTISHCHI,7280
OAKA,18500
USH CSKA,5000
LANXESS ARENA,19500
SPORTS PALACE YANTARNY,7000
OLYMPIC SPORTS CENTER ATHENS,18500
MORACA,6000
VOLKSWAGEN ARENA ,30000
GRAN CANARIA ARENA,11500
FERNANDO BUESA ARENA,15716
PALABANCODESIO,6700
SINAN ERDEM SPORTS HALL,16000
BROSE ARENA,6820
HERAKLION ARENA,5222
MARTIN CARPENA,11300
KOMBANK ARENA,18386
ARENA NURNBERGER VERSICHERUNG,8200
BARCLAYCARD CENTER,17453
ABDI IPEKCI ARENA,12270
FENERBAHCE ULKER SPORTS ARENA,13059
SINAN ERDEM DOME,16000
BASKETBALL CENTER OF MOSCOW REGION,5025
PALAIS DES SPORTS DE BEAUBLANC,6500
KARSIYAKA ARENA,6500
BASKET HALL,7482
CENTRUM REKREACYJNO SPORTOWE,6080
AYHAN SAHENK SPORTS HALL,3500
RHENUS SPORT,6200
DRAZEN PETROVIC ZAGREB,5400
PALASERRADIMIGNI,5000
KRYLATSKOYE SPORTS PALACE,5000
LE PALIO,5200
PIONIR,8000
MILLENNIUM CENTER,4400
CEC NAGORNY,5500
NOKIA ARENA,10728
O2 WORLD,20000
REGIONALNE CENTRUM SPORTOWE,3700
SVYTURIO ARENA,6200
KAUNAS SPORTS HALL,5000
PALADESIO,6700
MAX SCHMELING HALLE,11900
KIEV PALACE OF SPORTS,6900
HALLE CARPENTIER,5009
ZALGIRIS ARENA,15415
NELSON MANDELA FORUM,7500
SIEMENS ARENA,11000
PALACIO DE DEPORTES DE LA COMUNIDAD DE MADRID,17453
ELEFTHERIA INDOOR HALL,6000
LE COLISEE,5000
PALACIO DE LOS DEPORTES J.M. MARTIN CARPENA,11300
PALAESTRA,6000
MEDIOLANUM FORUM ,12700
ABDI IPEKCI SPORTS HALL,12270
ARENA STOZICE,12480
ERGO ARENA,11409
DRAZEN PETROVIC,5400
STECHERT ARENA,6150
O2 ARENA,20000
BILBAO ARENA,10014
RTL SPIROUDOME,6300
GDYNIA SPORTS ARENA,5500
IRADIER ARENA,8512
PALAIS DES SPORTS JEAN WEILLE,6027
ARENA ZAGREB,16500
MADRID CAJA MAGICA,12442
PAB. DEP. COMUNIDAD DE MADRID,12000
S.DARIUS AND S.GIRENAS SPORT CENTER,5000
PALALOTTOMATICA,11200
FUENTE DE SAN LUIS,9000
RTL SPIROU DOME,6300
LA MEILLERAIE,5191
BASKETBALL CENTER  DRAZEN PETROVIC,5400
BIELLA FORUM,5707
BELGRADE ARENA,18386
PALAU SANT JORDI,17960
ZENITH,7000
TIVOLI  ARENA,7000
WESER-EMS-HALLE,6069
PALACIO VISTALEGRE,14000
AWD DOME,14500
PALAIS DES SPORTS,4600
ARENA BEOGRAD,18386
PALAIS OMNISPORTS DE PARIS-BERCY,15609
PALA DEL MAURO,5300
PALAU OLIMPIC DE BADALONA,12760
ANTARES,6023
OLIVIA SPORT HALL,5500
"NATIONAL ATHLETIC CENTER ""MAKIS LIOUGAS""",2270
100 YEARS OF SOPOT HALL,2000
DATCHFORUM,12700
PALAZZO DELLO SPORT,11200
OLYMPIC COMPLEX-HELLINIKON,15000
PALAMALAGUTI,11000
JAKO ARENA BAMBERG,6150
MAISON DES SPORTS,4500
ARENA NURNBERGER VERSICHERUNGEN,11000
PALALIDO,5420
PALACE OF SPORTS KHODYNKA,12824
PALACIO DE DEPORTES COMUNIDAD DE MADRID,17453
SPORTS COMPLEX KRYLATSKOE,5000
PALAIS DES SPORTS DE PAU,7707
PALAELDO,5500
PALAVERDE,5344
LAND ROVER ARENA,5721
PHILLIPSHAVE,7500
GALATSI OLYMPIC HALL,6200
SAZKA ARENA,16805
BPA PALAS,10323
BALLSPORTHALLE,5002
PALADOZZA,5721
ZAVOD TIVOLI,7000
OLYMPIYSKY ARENA,13600
HALA LUDOWA,10000
HALA PIONIR,8000
3RD MUNICIPAL SPORTSHALL OF ANO LIOSIA,3000
A.C. SPORTING,2500
"SPORTHALL ""LEON STUKELJ""",2500
KORIDALOS SPORTS HALL,3000
HALKIOPOULIO MUNICIPAL SPORTS CENTER OF LAMIA,3660
JP CENTAR MORACA,6000
YAD ELIYAHU SPORTS PALACE,10383
CSKA UNIVERSAL SPORTS HALL,5000
PABELLON RAIMUNDO SAPORTA,5200
MUNICIPAL SPORTSHALL ANO LIOSIA,3000
HALA ORBITA,3000
PAOK SPORTS ARENA,8142
