VENUE,CAPACITY,MANUAL_ENTRY
"ORACLE Arena, Oakland, CA",19596,False
"Amway Arena, Orlando, FL",0,False
"Madison Square Garden, New York, NY",19812,False
"Quicken Loans Arena, Cleveland, OH",19432,False
"KeyArena, Seattle, WA",18300,False
"TD Garden, Boston, MA",19156,False
"Capital One Arena, Washington, DC",20356,False
"Pepsi Center, Denver, CO",0,False
"US Airways Center, Phoenix, AZ",17071,False
"Reunion Arena, Dallas, TX",0,False
"Wachovia Center, Philadelphia, PA",21000,False
"Air Canada Centre, Toronto, ON",19800,False
"Philips Arena, Atlanta, GA",0,False
"STAPLES Center, Los Angeles, CA",19079,False
"Compaq Center, Houston, TX",0,False
"EnergySolutions Arena, Salt Lake City, UT",18306,False
"IZOD Center, New Jersey, NJ",20049,False
"Moda Center, Portland, OR",0,False
"Bankers Life Fieldhouse, Indianapolis, IN",17274,False
"AmericanAirlines Arena, Miami, FL",19600,False
"Sleep Train Arena, Sacramento, CA",0,False
"Spectrum Center, Charlotte, NC",19077,False
"United Center, Chicago, IL",20917,False
"Palace of Auburn Hills, Detroit, MI",22076,False
"Target Center, Minneapolis, MN",18798,False
"GM Place, Vancouver, BC",0,False
"Alamodome, San Antonio, TX",20662,False
"BMO Harris Bradley Center, Milwaukee, WI",18850,False
"Pyramid, Memphis, TN",0,False
"Smoothie King Center, New Orleans, LA",16867,False
"AT&T Center, San Antonio, TX",0,True
"Toyota Center, Houston, TX",18104,False
"American Airlines Center, Dallas, TX",19200,False
"Saitama Super Arena, Tokyo, ",36500,False
"FedExForum, Memphis, TN",17794,False
"Chesapeake Energy Arena, Oklahoma City, OK",18203,False
"Noble Center, Norman, OK",10967,False
"Pete Maravich Assembly Center, Baton Rouge, LA",13215,False
"Amway Center, Orlando, FL",20000,False
"Wells Fargo Center, Philadelphia, PA",21000,False
"Prudential Center, Newark, NJ",18711,False
"The O2 Arena, London, ",20000,False
"Barclays Center, Brooklyn, NY",17732,False
"Mexico City Arena, Mexico City, Mexico, ",22300,False
"Talking Stick Resort Arena, Phoenix, AZ",17071,False
"Vivint Smart Home Arena, Salt Lake City, UT",18306,False
"Golden 1 Center, Sacramento, CA",17608,False
"Little Caesars Arena, Detroit, MI",20332,False
"UW-Milwaukee Panther Arena, Milwaukee, WI",10783,False
"State Farm Arena, Atlanta, GA",0,False
"Fiserv Forum, Milwaukee, WI",17385,False
"Rocket Mortgage FieldHouse, Cleveland, OH",19432,False
"Scotiabank Arena, Toronto, ON",19800,False
"Arena Ciudad de Mexico, Mexico City, Mexico, ",22300,False
"HP Field House, Orlando, FL",0,False
"AdventHealth Arena, Orlando, FL",0,False
"VISA Athletic Center, Orlando, FL",0,False
"The Field House, Orlando, FL",0,False
"The Arena WWOS, Orlando, FL",0,False
"ESPN Wide World of Sports Complex, Orlando, FL",0,False
"Staples Center, Los Angeles, CA",19079,False
"Chase Center, San Francisco, CA",18064,False
"AccorHotels Arena, Paris, 12",15609,False
"The Fieldhouse, Greensboro, NC",35000,False
"Amalie Arena, Tampa, FL",20500,False
"Phoenix Suns Arena, Phoenix, AZ",17071,False
"Vivint Arena, Salt Lake City, UT",18306,False
"Ball Arena, Denver, CO",0,False
"Footprint Center, Phoenix, AZ",17071,False
"Crypto.com Arena, Los Angeles, CA",19079,False
"FTX Arena, Miami, FL",19600,False
"Gainbridge Fieldhouse, Indianapolis, IN",17274,False
"Paycom Center, Oklahoma City, OK",18203,False
"Kaseya Center, Miami, FL",19600,False
"Moody Center, Austin, TX",15000,False
"Miami-Dade Arena, Miami, FL",15200,False
"Accor Arena, Paris, ",15609,False
